Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Movie_Age,Genre_Count,Director_Frequency,Actor1_Frequency,Genre_Encoded,Director_Encoded,combined_features
Nympho: The Lust Story,2020.0,104.0,"Drama, Romance, Thriller",5.3,31.0,Kumaar Aadarsh,Natasha Majhi,Mohnish Nawani,Vikhyat Swades,6.0,3,5,1,305,1076,"Drama, Romance, Thriller Kumaar Aadarsh Natasha Majhi Mohnish Nawani"
O Teri,2014.0,107.0,"Comedy, Drama",3.3,584.0,Umesh Bist,Pulkit Samrat,Bilal Amrohi,Sarah Jane Dias,12.0,2,2,6,154,2386,"Comedy, Drama Umesh Bist Pulkit Samrat Bilal Amrohi"
Oass,2012.0,105.0,Drama,6.2,196.0,Abhinav Shiv Tiwari,Priyanka Bose,Jameel Khan,Yashpal Sharma,14.0,1,1,2,246,45,Drama Abhinav Shiv Tiwari Priyanka Bose Jameel Khan
Ocean of an Old Man,2008.0,80.0,Drama,6.6,44.0,Rajesh Shera,Tom Alter,Akash,Jamie Alter,18.0,1,1,10,246,1671,Drama Rajesh Shera Tom Alter Akash
Octave,2002.0,118.0,Drama,5.1,8.0,Shaji N. Karun,Rajit Kapoor,Archana,Geshe Thupten-Phelgyei,24.0,1,1,5,246,2067,Drama Shaji N. Karun Rajit Kapoor Archana
October,2018.0,115.0,"Drama, Romance",7.5,14013.0,Shoojit Sircar,Varun Dhawan,Banita Sandhu,Gitanjali Rao,8.0,2,6,9,301,2143,"Drama, Romance Shoojit Sircar Varun Dhawan Banita Sandhu"
Odd Couple,2019.0,117.0,Drama,8.2,13.0,Prashant Johari,Sumit Gulati,Suchitra Krishnamoorthi,Manoj Pahwa,7.0,1,1,1,246,1508,Drama Prashant Johari Sumit Gulati Suchitra Krishnamoorthi
Office #thebrightesthorrorfilm,2017.0,99.0,Horror,5.4,13.0,Danish Raza,Danish Raza,Priyanka Chauhan,Amit Dawar,9.0,1,1,1,333,498,Horror Danish Raza Danish Raza Priyanka Chauhan
Officer Arjun Singh IPS,2019.0,120.0,"Action, Drama",8.0,91.0,Arshad Siddiqui,Priyanshu Chatterjee,Raai Laxmi,Amit Misra,7.0,2,2,6,38,282,"Action, Drama Arshad Siddiqui Priyanshu Chatterjee Raai Laxmi"
Offshore,2006.0,92.0,Drama,6.3,20.0,Diane Cheklich,Diane Allemon,Ratnabali Bhattacharjee,Neil Bhoopalam,20.0,1,1,1,246,571,Drama Diane Cheklich Diane Allemon Ratnabali Bhattacharjee
Oh Darling Yeh Hai India,1995.0,160.0,Comedy,4.2,1582.0,Ketan Mehta,Shah Rukh Khan,Deepa Sahi,Javed Jaffrey,31.0,1,12,37,145,1028,Comedy Ketan Mehta Shah Rukh Khan Deepa Sahi
"Oh, My God!!",2008.0,105.0,"Comedy, Drama",5.4,264.0,Sourabh Shrivastava,Vinay Pathak,Saurabh Shukla,Divya Dutta,18.0,2,4,13,154,2195,"Comedy, Drama Sourabh Shrivastava Vinay Pathak Saurabh Shukla"
OK Jaanu,2017.0,135.0,"Drama, Romance",5.2,3883.0,Shaad Ali,Aditya Roy Kapoor,Shraddha Kapoor,Naseeruddin Shah,9.0,2,6,5,301,2053,"Drama, Romance Shaad Ali Aditya Roy Kapoor Shraddha Kapoor"
