Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Movie_Age,Genre_Count,Director_Frequency,Actor1_Frequency,Genre_Encoded,Director_Encoded,combined_features
Chal Guru Ho Jaa Shuru,2015.0,127.0,Comedy,4.9,45.0,Manoj Sharma,Pawan Kumar Sharma,Vrajesh Hirjee,Brijendra Kala,11.0,1,5,1,145,1207,Comedy Manoj Sharma Pawan Kumar Sharma Vrajesh Hirjee
Chal Mere Bhai,2000.0,136.0,"Comedy, Romance",4.7,3128.0,David Dhawan,Sanjay Dutt,Salman Khan,Karisma Kapoor,26.0,2,41,61,187,505,"Comedy, Romance David Dhawan Sanjay Dutt Salman Khan"
Chal Pichchur Banate Hain,2012.0,115.0,"Comedy, Drama",6.1,47.0,Pritish Chakraborty,Sonam Arora,Sagar Bhangade,Mukesh S. Bhatt,14.0,2,1,2,154,1538,"Comedy, Drama Pritish Chakraborty Sonam Arora Sagar Bhangade"
Chala Murari Hero Banne,1977.0,128.0,"Comedy, Musical, Romance",7.0,66.0,Asrani,Asrani,Bindiya Goswami,Satyendra Kapoor,49.0,3,4,22,183,334,"Comedy, Musical, Romance Asrani Asrani Bindiya Goswami"
Chala Mussaddi - Office Office,2011.0,60.0,"Comedy, Drama",6.1,346.0,Rajiv Mehra,Deven Bhojani,Makrand Deshpande,Vinay Jain,15.0,2,6,1,154,1681,"Comedy, Drama Rajiv Mehra Deven Bhojani Makrand Deshpande"
Chale Chalo: The Lunacy of Film Making,2003.0,150.0,Documentary,8.6,336.0,Satyajit Bhatkal,Ashutosh Gowariker,Aamir Khan,Gracy Singh,23.0,1,2,2,218,2036,Documentary Satyajit Bhatkal Ashutosh Gowariker Aamir Khan
Chalk N Duster,2016.0,130.0,Drama,6.5,676.0,Jayant Gilatar,Richa Chadha,Shabana Azmi,Arya Babbar,10.0,1,3,5,246,858,Drama Jayant Gilatar Richa Chadha Shabana Azmi
Challo Driver,2012.0,95.0,Comedy,5.9,185.0,Vickrant Mahajan,Vickrant Mahajan,Kainaz Motivala,Prem Chopra,14.0,1,1,1,145,2427,Comedy Vickrant Mahajan Vickrant Mahajan Kainaz Motivala
Chalo Dilli,2011.0,155.0,"Comedy, Drama",6.8,3081.0,Shashant Shah,Vinay Pathak,Lara Dutta,Yana Gupta,15.0,2,3,13,154,2100,"Comedy, Drama Shashant Shah Vinay Pathak Lara Dutta"
Chalo Ishq Ladaaye,2002.0,140.0,"Action, Comedy, Romance",4.4,522.0,Aziz Sejawal,Govinda,Kader Khan,Rani Mukerji,24.0,3,9,55,24,357,"Action, Comedy, Romance Aziz Sejawal Govinda Kader Khan"
Chalta Purza,1977.0,150.0,"Action, Thriller",6.0,39.0,Bhappi Sonie,Rajesh Khanna,Parveen Babi,Rakesh Roshan,49.0,2,12,74,78,405,"Action, Thriller Bhappi Sonie Rajesh Khanna Parveen Babi"
Chalte Chalte,2003.0,167.0,"Drama, Romance",6.6,14779.0,Aziz Mirza,Shah Rukh Khan,Rani Mukerji,Jas Arora,23.0,2,5,37,301,355,"Drama, Romance Aziz Mirza Shah Rukh Khan Rani Mukerji"
Chalte Chalte,1976.0,100.0,"Romance, Thriller",5.7,54.0,Sunder Dar,Simi Garewal,Bhisham Kohli,Nazneen,50.0,2,2,1,382,2268,"Romance, Thriller Sunder Dar Simi Garewal Bhisham Kohli"
Chalti Ka Naam Gaadi,1958.0,173.0,"Comedy, Musical, Romance",8.0,1514.0,Satyen Bose,Ashok Kumar,Madhubala,Anoop Kumar,68.0,3,17,91,183,2038,"Comedy, Musical, Romance Satyen Bose Ashok Kumar Madhubala"
Chaman Bahaar,2020.0,111.0,"Comedy, Drama",7.0,5866.0,Apurva Dhar Badgaiyann,Jitendra Kumar,Ritika Badiani,Bhuvan Arora,6.0,2,1,1,154,263,"Comedy, Drama Apurva Dhar Badgaiyann Jitendra Kumar Ritika Badiani"
Chamatkar,1992.0,171.0,"Comedy, Drama, Fantasy",6.6,5846.0,Rajiv Mehra,Naseeruddin Shah,Shah Rukh Khan,Urmila Matondkar,34.0,3,6,43,156,1681,"Comedy, Drama, Fantasy Rajiv Mehra Naseeruddin Shah Shah Rukh Khan"
Chameli,2003.0,108.0,Drama,7.0,2108.0,Sudhir Mishra,Kareena Kapoor,Rahul Bose,Rinke Khanna,23.0,1,12,9,246,2238,Drama Sudhir Mishra Kareena Kapoor Rahul Bose
Chameli Ki Shaadi,1986.0,136.0,"Comedy, Drama, Romance",7.5,1580.0,Basu Chatterjee,Anil Kapoor,Amrita Singh,Om Prakash,40.0,3,23,53,162,390,"Comedy, Drama, Romance Basu Chatterjee Anil Kapoor Amrita Singh"
Chamku,2008.0,105.0,"Action, Crime, Thriller",4.0,529.0,Kabeer Kaushik,Bobby Deol,Priyanka Chopra Jonas,Irrfan Khan,18.0,3,4,18,37,958,"Action, Crime, Thriller Kabeer Kaushik Bobby Deol Priyanka Chopra Jonas"
Champion,2000.0,140.0,"Action, Comedy, Drama",4.3,519.0,Padam Kumar,Jana Sue Memel,Sunny Deol,Prasant Samadhar,26.0,3,2,1,19,1422,"Action, Comedy, Drama Padam Kumar Jana Sue Memel Sunny Deol"
Chanakya,2019.0,147.0,"Action, Adventure, Thriller",5.5,521.0,Thiru,Mehreen Pirzada,Nassar,Zareen Khan,7.0,3,1,1,14,2365,"Action, Adventure, Thriller Thiru Mehreen Pirzada Nassar"
Chance Pe Dance,2010.0,122.0,"Comedy, Drama, Music",4.7,2805.0,Ken Ghosh,Shahid Kapoor,Genelia D'Souza,Mohnish Bahl,16.0,3,3,20,159,1021,"Comedy, Drama, Music Ken Ghosh Shahid Kapoor Genelia D'Souza"
Chand,1959.0,149.0,Drama,6.8,13.0,Lekhraj Bhakri,Balraj Sahni,Manoj Kumar,Meena Kumari,67.0,1,11,13,246,1114,Drama Lekhraj Bhakri Balraj Sahni Manoj Kumar
Chand Aur Suraj,1965.0,154.0,"Crime, Drama, Mystery",6.4,24.0,Dulal Guha,Ashok Kumar,Dharmendra,Nirupa Roy,61.0,3,10,91,202,597,"Crime, Drama, Mystery Dulal Guha Ashok Kumar Dharmendra"
Chand Bujh Gaya,2005.0,116.0,"Drama, Thriller",6.8,52.0,Sharique Minhaj,Mukesh Ahuja,Ishrat Ali,Aliza,21.0,2,2,1,309,2096,"Drama, Thriller Sharique Minhaj Mukesh Ahuja Ishrat Ali"
Chand Ke Paar Chalo,2006.0,169.0,Romance,6.7,35.0,Mustafa Engineer,Somesh Agarwal,Shahib Chopra,Kannu Gill,20.0,1,1,4,371,1307,Romance Mustafa Engineer Somesh Agarwal Shahib Chopra
Chand Par Chadayee,1967.0,150.0,"Adventure, Comedy, Drama",5.0,20.0,T.R. Sundaram,Dara Singh,Anwar Hussain,Master Bhagwan,59.0,3,1,14,88,2333,"Adventure, Comedy, Drama T.R. Sundaram Dara Singh Anwar Hussain"
Chand Sa Roshan Chehra,2005.0,120.0,Romance,4.7,54.0,Shahab Shamsi,Samir Aftab,Talat Aziz,Tamannaah Bhatia,21.0,1,1,2,371,2058,Romance Shahab Shamsi Samir Aftab Talat Aziz
Chanda Aur Bijli,1969.0,137.0,Drama,4.8,16.0,Atma Ram,Sanjeev Kumar,Padmini,Jeevan,57.0,1,11,53,246,338,Drama Atma Ram Sanjeev Kumar Padmini
Chandaal Atma,1999.0,129.0,Horror,4.6,9.0,S.R. Pratap,Aparna,Rakesh Bedi,Sudhir Dalvi,27.0,1,4,1,333,1883,Horror S.R. Pratap Aparna Rakesh Bedi
Chandan Ka Palna,1967.0,166.0,Drama,6.7,43.0,Ismail Memon,Meena Kumari,Dharmendra,Mehmood,59.0,1,2,19,246,800,Drama Ismail Memon Meena Kumari Dharmendra
Chandanachi Choli Anga Anga Jali,1975.0,140.0,Unknown,6.3,10.0,Shantaram Rajaram Vankudre,Ramesh Deo,Bhalchandra Kulkarni,Govind Kulkarni,51.0,1,18,1,392,2087,Unknown Shantaram Rajaram Vankudre Ramesh Deo Bhalchandra Kulkarni
Chandidas,1934.0,128.0,Unknown,6.6,5.0,Nitin Bose,K.L. Saigal,Umasashi,Pahadi Sanyal,92.0,1,11,9,392,1388,Unknown Nitin Bose K.L. Saigal Umasashi
Chandni,1989.0,186.0,"Drama, Musical, Romance",6.8,1657.0,Yash Chopra,Sridevi,Rishi Kapoor,Vinod Khanna,37.0,3,22,9,294,2526,"Drama, Musical, Romance Yash Chopra Sridevi Rishi Kapoor"
Chandni Bar,2001.0,150.0,"Crime, Drama",7.6,2486.0,Madhur Bhandarkar,Tabu,Atul Kulkarni,Rajpal Yadav,25.0,2,13,7,196,1137,"Crime, Drama Madhur Bhandarkar Tabu Atul Kulkarni"
Chandra,1948.0,207.0,Drama,6.9,39.0,S.S. Vasan,Rajkumari,M.K. Radha,Ranjan,78.0,1,8,1,246,1888,Drama S.S. Vasan Rajkumari M.K. Radha
Chandra Mukhi,1993.0,152.0,"Comedy, Fantasy, Romance",4.0,676.0,Debaloy Dey,Maya Alagh,Tinnu Anand,Mohnish Bahl,33.0,3,2,3,173,513,"Comedy, Fantasy, Romance Debaloy Dey Maya Alagh Tinnu Anand"
Chandrahas,2007.0,136.0,"Action, Adventure, Drama",4.3,26.0,Shiva Shakti Datta,Abbas,Abhinayasri,Sharat Babu,19.0,3,1,3,5,2129,"Action, Adventure, Drama Shiva Shakti Datta Abbas Abhinayasri"
Chandrasena,1935.0,136.0,Adventure,4.1,11.0,Shantaram Rajaram Vankudre,Nalini Tarkhad,Sureshbabu Mane,Rajani,91.0,1,18,2,84,2087,Adventure Shantaram Rajaram Vankudre Nalini Tarkhad Sureshbabu Mane
Chandrawal,1984.0,109.0,Drama,8.3,39.0,Jayant Prabhakar,Usha Sharma,Jagat Singh Jakhar,Raju Maan,42.0,1,1,1,246,859,Drama Jayant Prabhakar Usha Sharma Jagat Singh Jakhar
Chandu,2002.0,136.0,Romance,6.9,70.0,P.A. Arun Prasad,Sudeep,Sonia Agarwal,Srinath,24.0,1,2,8,371,1414,Romance P.A. Arun Prasad Sudeep Sonia Agarwal
Changez Khan,1957.0,135.0,"Action, Adventure, History",7.1,20.0,Kedar Kapoor,Prem Nath,Bina Rai,Sheikh Mukhtar,69.0,3,7,4,8,1019,"Action, Adventure, History Kedar Kapoor Prem Nath Bina Rai"
Chann Pardesee,1980.0,147.0,Drama,8.1,60.0,Chitraarth,Raj Babbar,Rama Vij,Kulbhushan Kharbanda,46.0,1,1,20,246,480,Drama Chitraarth Raj Babbar Rama Vij
Char Diwari,1961.0,136.0,"Drama, Romance",6.7,24.0,Krishan Chopra,Shashi Kapoor,Nanda,Manmohan Krishna,65.0,2,2,81,301,1060,"Drama, Romance Krishan Chopra Shashi Kapoor Nanda"
Char Paise,1955.0,118.0,"Action, Crime, Drama",5.6,11.0,N.K. Ziree,Shyama,Kishore Kumar,Agha,71.0,3,1,4,28,1318,"Action, Crime, Drama N.K. Ziree Shyama Kishore Kumar"
Charandas Chor,1975.0,156.0,Drama,8.0,44.0,Shyam Benegal,Lalu Ram,Madan Lal,Babu Das,51.0,1,22,1,246,2158,Drama Shyam Benegal Lalu Ram Madan Lal
Charas,1976.0,159.0,"Action, Drama, Romance",6.5,176.0,Ramanand Sagar,Dharmendra,Hema Malini,Ajit,50.0,3,5,90,47,1734,"Action, Drama, Romance Ramanand Sagar Dharmendra Hema Malini"
Charas: A Joint Effort,2004.0,140.0,"Action, Crime, Thriller",5.3,336.0,Tigmanshu Dhulia,Jimmy Sheirgill,Uday Chopra,Irrfan Khan,22.0,3,12,20,37,2367,"Action, Crime, Thriller Tigmanshu Dhulia Jimmy Sheirgill Uday Chopra"
Charitraheen,1974.0,100.0,"Drama, Family",7.1,58.0,Shakti Samanta,Sharmila Tagore,Sanjeev Kumar,Yogeeta Bali,52.0,2,34,5,256,2072,"Drama, Family Shakti Samanta Sharmila Tagore Sanjeev Kumar"
Charlie Kay Chakkar Mein,2015.0,102.0,Thriller,4.5,159.0,Manish Srivastav,Naseeruddin Shah,Nishant Lal,Disha Arora,11.0,1,2,43,387,1188,Thriller Manish Srivastav Naseeruddin Shah Nishant Lal
Chase,2010.0,103.0,"Action, Crime, Drama",4.9,87.0,Jag Mundhra,Anuj Saxena,Udita Goswami,Tarina Patel,16.0,3,5,1,28,815,"Action, Crime, Drama Jag Mundhra Anuj Saxena Udita Goswami"
Chashme Baddoor,2013.0,121.0,"Comedy, Drama",5.4,4981.0,David Dhawan,Ali Zafar,Siddharth,Divyendu Sharma,13.0,2,41,4,154,505,"Comedy, Drama David Dhawan Ali Zafar Siddharth"
Chashme Buddoor,1981.0,145.0,"Comedy, Family, Romance",8.0,2328.0,Sai Paranjape,Farooq Shaikh,Deepti Naval,Saeed Jaffrey,45.0,3,6,10,169,1921,"Comedy, Family, Romance Sai Paranjape Farooq Shaikh Deepti Naval"
Chatpati,1983.0,130.0,Comedy,5.9,7.0,V. Ravindra,Smita Patil,Raj Kiran,Reema Lagoo,43.0,1,1,7,145,2402,Comedy V. Ravindra Smita Patil Raj Kiran
Chatur Singh Two Star,2011.0,150.0,"Action, Adventure, Comedy",1.7,624.0,Ajay Chandhok,Sanjay Dutt,Ameesha Patel,Anupam Kher,15.0,3,5,61,3,95,"Action, Adventure, Comedy Ajay Chandhok Sanjay Dutt Ameesha Patel"
Chauhar,2017.0,123.0,Drama,6.8,15.0,Raghubeer Singh,Muntazir Ahmad,Richa Dixit,Vivek Jha,9.0,1,1,10,246,1591,Drama Raghubeer Singh Muntazir Ahmad Richa Dixit
Chauraha,1994.0,154.0,"Action, Crime, Drama",3.9,25.0,Sadaqat Hussein,Jeetendra,Jackie Shroff,Jaya Prada,32.0,3,1,89,28,1910,"Action, Crime, Drama Sadaqat Hussein Jeetendra Jackie Shroff"
Chauranga,2014.0,88.0,Drama,6.5,299.0,Bikas Ranjan Mishra,Sanjay Suri,Tannishtha Chatterjee,Riddhi Sen,12.0,1,1,3,246,423,Drama Bikas Ranjan Mishra Sanjay Suri Tannishtha Chatterjee
Chausar,2018.0,85.0,Drama,6.4,82.0,Sagar Sarhadi,Sanjeev Giriwer,Nawazuddin Siddiqui,Amruta Subhash,8.0,1,2,1,246,1917,Drama Sagar Sarhadi Sanjeev Giriwer Nawazuddin Siddiqui
Cheeni Kum,2007.0,140.0,"Comedy, Drama, Romance",6.8,4997.0,R. Balki,Amitabh Bachchan,Tabu,Paresh Rawal,19.0,3,5,104,162,1560,"Comedy, Drama, Romance R. Balki Amitabh Bachchan Tabu"
Cheer Haran,2021.0,98.0,Documentary,9.1,123.0,Kuldeep Ruhil,Kuldeep Ruhil,Unknown,Unknown,5.0,1,1,1,218,1075,Documentary Kuldeep Ruhil Kuldeep Ruhil Unknown
Chef,2017.0,133.0,"Comedy, Drama, Family",5.7,2229.0,Raja Menon,Saif Ali Khan,Padmapriya,Svar Kamble,9.0,3,3,24,155,1626,"Comedy, Drama, Family Raja Menon Saif Ali Khan Padmapriya"
Chehere: A Modern Day Classic,2015.0,106.0,Thriller,5.8,22.0,Rohit Kaushik,Divya Dutta,Manisha Koirala,Jackie Shroff,11.0,1,1,7,387,1830,Thriller Rohit Kaushik Divya Dutta Manisha Koirala
Chehraa,2005.0,136.0,Thriller,3.8,140.0,Saurabh Shukla,Bipasha Basu,Dino Morea,Preeti Jhangiani,21.0,1,5,9,387,2043,Thriller Saurabh Shukla Bipasha Basu Dino Morea
Chehre Pe Chehra,1981.0,140.0,"Drama, Horror, Romance",6.1,53.0,Raj Tilak,Sanjeev Kumar,Rekha,Vinod Mehra,45.0,3,2,53,286,1622,"Drama, Horror, Romance Raj Tilak Sanjeev Kumar Rekha"
Cheluvi,1992.0,102.0,Drama,7.5,86.0,Girish Karnad,Girish Karnad,Sonali Kulkarni,Prashant Rao,34.0,1,2,5,246,679,Drama Girish Karnad Girish Karnad Sonali Kulkarni
Chemmeen,1965.0,140.0,"Drama, Romance",7.7,475.0,Ramu Kariat,Sathyan,Sheela,Madhu,61.0,2,1,1,301,1753,"Drama, Romance Ramu Kariat Sathyan Sheela"
Chennai Express,2013.0,141.0,"Action, Adventure, Comedy",6.0,50307.0,Rohit Shetty,Deepika Padukone,Shah Rukh Khan,Sathyaraj,13.0,3,13,8,3,1835,"Action, Adventure, Comedy Rohit Shetty Deepika Padukone Shah Rukh Khan"
Chetna,1970.0,135.0,Drama,6.2,27.0,B.R. Ishara,Anil Dhawan,Shatrughan Sinha,Rehana Sultan,56.0,1,9,6,246,369,Drama B.R. Ishara Anil Dhawan Shatrughan Sinha
Chetna: The Excitement,2005.0,102.0,Thriller,3.1,45.0,Partho Ghosh,Jatin Grewal,Kiran Kumar,Navnit Ravi Rana,21.0,1,14,2,387,1448,Thriller Partho Ghosh Jatin Grewal Kiran Kumar
Chettaniki Kallu Levu,1981.0,141.0,"Action, Drama, Crime",7.6,81.0,S.A. Chandrashekhar,Chiranjeevi,Madhavi,Lakshmi,45.0,3,6,13,39,1868,"Action, Drama, Crime S.A. Chandrashekhar Chiranjeevi Madhavi"
Chhailla Babu,1977.0,146.0,"Action, Crime, Romance",6.8,74.0,Joy Mukherjee,Rajesh Khanna,Zeenat Aman,Asrani,49.0,3,1,74,35,907,"Action, Crime, Romance Joy Mukherjee Rajesh Khanna Zeenat Aman"
Chhalaang,2020.0,136.0,"Comedy, Drama",6.8,15830.0,Hansal Mehta,Rajkummar Rao,Nushrat Bharucha,Mohd. Zeeshan Ayyub,6.0,2,8,11,154,722,"Comedy, Drama Hansal Mehta Rajkummar Rao Nushrat Bharucha"
Chhalia,1960.0,112.0,"Musical, Romance",7.4,201.0,Manmohan Desai,Raj Kapoor,Nutan,Pran,66.0,2,19,31,358,1195,"Musical, Romance Manmohan Desai Raj Kapoor Nutan"
Chhapaak,2020.0,120.0,"Biography, Drama",5.1,25070.0,Meghna Gulzar,Deepika Padukone,Vikrant Massey,Madhurjeet Sarghi,6.0,2,6,8,134,1232,"Biography, Drama Meghna Gulzar Deepika Padukone Vikrant Massey"
Chhappad Phaad Ke,2019.0,90.0,Drama,6.3,954.0,Sameer Joshi,Siddharth Menon,Vinay Pathak,Ayesha Raza,7.0,1,1,1,246,1943,Drama Sameer Joshi Siddharth Menon Vinay Pathak
Chhatrapati Shivaji,1952.0,170.0,"Drama, History",8.3,39.0,Bhalji Pendharkar,Parshwanath Yeshwant Altekar,Chandrakant,Gajanan Jagirdar,74.0,2,2,1,277,403,"Drama, History Bhalji Pendharkar Parshwanath Yeshwant Altekar Chandrakant"
Chhaya,1961.0,144.0,"Drama, Romance",7.1,42.0,Hrishikesh Mukherjee,Sunil Dutt,Asha Parekh,Nirupa Roy,65.0,2,33,34,301,768,"Drama, Romance Hrishikesh Mukherjee Sunil Dutt Asha Parekh"
Chhichhore,2019.0,143.0,"Comedy, Drama",8.3,38581.0,Nitesh Tiwari,Sushant Singh Rajput,Shraddha Kapoor,Varun Sharma,7.0,2,4,8,154,1387,"Comedy, Drama Nitesh Tiwari Sushant Singh Rajput Shraddha Kapoor"
Chhodon Naa Yaar,2007.0,97.0,"Horror, Thriller",4.6,94.0,Dilip Sood,Jimmy Sheirgill,Kim Sharma,Farid Amiri,19.0,2,1,20,342,582,"Horror, Thriller Dilip Sood Jimmy Sheirgill Kim Sharma"
Chhota Bheem and the Curse of Damyaan,2012.0,88.0,"Animation, Adventure, Fantasy",5.7,145.0,Rajiv Chilaka,Jigna Bhardwaj,Chutki,Kaustav Ghosh,14.0,3,7,3,120,1677,"Animation, Adventure, Fantasy Rajiv Chilaka Jigna Bhardwaj Chutki"
Chhota Bheem and the Throne of Bali,2013.0,130.0,Animation,6.2,142.0,Rajiv Chilaka,Rupa Bhimani,Vivaan Bhimani,Parignya Pandya Shah,13.0,1,7,1,111,1677,Animation Rajiv Chilaka Rupa Bhimani Vivaan Bhimani
Chhota Bheem Himalayan Adventure,2016.0,97.0,Animation,5.5,117.0,Rosauro Adorable,Jigna Bhardwaj,Rupa Bhimani,Sonal Kaushal,10.0,1,1,3,111,1842,Animation Rosauro Adorable Jigna Bhardwaj Rupa Bhimani
Chhota Bheem in the Incan Adventure,2013.0,65.0,"Animation, Adventure, Fantasy",6.5,22.0,Rajiv Chilaka,Jigna Bhardwaj,Julie Tejwani,Rajesh Kava,13.0,3,7,3,120,1677,"Animation, Adventure, Fantasy Rajiv Chilaka Jigna Bhardwaj Julie Tejwani"
Chhota Bheem Kung Fu Dhamaka,2019.0,97.0,"Animation, Action, Adventure",5.2,119.0,Rajiv Chilaka,Binayak Das,Urvi Ashar,Asif Ali Beig,7.0,3,7,1,113,1677,"Animation, Action, Adventure Rajiv Chilaka Binayak Das Urvi Ashar"
Chhota Chetan,1998.0,103.0,"Adventure, Comedy, Family",5.7,155.0,Jijo Punnoose,Urmila Matondkar,Dalip Tahil,Satish Kaushik,28.0,3,2,7,89,884,"Adventure, Comedy, Family Jijo Punnoose Urmila Matondkar Dalip Tahil"
Chhota Sa Ghar,1996.0,141.0,Drama,3.7,11.0,Kalpataru,Asrani,Neelima Azim,Beena Banerjee,30.0,1,13,22,246,969,Drama Kalpataru Asrani Neelima Azim
Chhote Nawab,1961.0,140.0,"Comedy, Drama, Romance",5.5,24.0,S.A. Akbar,Ameeta,Mehmood,Johnny Walker,65.0,3,3,1,162,1867,"Comedy, Drama, Romance S.A. Akbar Ameeta Mehmood"
Chhote Sarkar,1996.0,151.0,"Comedy, Romance, Thriller",4.7,239.0,Vimal Kumar,Govinda,Shilpa Shetty Kundra,Aruna Irani,30.0,3,5,55,190,2471,"Comedy, Romance, Thriller Vimal Kumar Govinda Shilpa Shetty Kundra"
Chhoti Bahen,1959.0,155.0,Drama,6.6,35.0,L.V. Prasad,Balraj Sahni,Shyama,Rehman,67.0,1,9,13,246,1095,Drama L.V. Prasad Balraj Sahni Shyama
Chhoti Bahu,1971.0,137.0,"Drama, Family",6.1,67.0,K.B. Tilak,Rajesh Khanna,Sharmila Tagore,Nirupa Roy,55.0,2,2,74,256,940,"Drama, Family K.B. Tilak Rajesh Khanna Sharmila Tagore"
Chhoti Si Baat,1976.0,123.0,"Comedy, Romance",8.3,3868.0,Basu Chatterjee,Ashok Kumar,Vidya Sinha,Amol Palekar,50.0,2,23,91,187,390,"Comedy, Romance Basu Chatterjee Ashok Kumar Vidya Sinha"
Chhoti Si Mulaqat,1967.0,175.0,"Drama, Romance",6.7,39.0,Alo Sarkar,Vyjayanthimala,Uttam Kumar,Rajendranath Malhotra,59.0,2,1,14,301,145,"Drama, Romance Alo Sarkar Vyjayanthimala Uttam Kumar"
Chhupa Rustam: A Musical Thriller,2001.0,127.0,"Drama, Musical, Romance",4.6,86.0,Aziz Sejawal,Sanjay Kapoor,Mamta Kulkarni,Manisha Koirala,25.0,3,9,6,294,357,"Drama, Musical, Romance Aziz Sejawal Sanjay Kapoor Mamta Kulkarni"
Chhupam Chhaai,2016.0,94.0,"Adventure, Drama, Family",8.4,79.0,Pratik Mittal,Akshat Jain,Sanket Chauhan,Anshu Khatri,10.0,3,1,1,93,1517,"Adventure, Drama, Family Pratik Mittal Akshat Jain Sanket Chauhan"
Chicken Curry Law,2019.0,127.0,Drama,5.3,30.0,Shekhar Sirrinn,Natalia Janoszek,Ashutosh Rana,Makrand Deshpande,7.0,1,1,1,246,2112,Drama Shekhar Sirrinn Natalia Janoszek Ashutosh Rana
Chicken Tikka Masala,2005.0,90.0,"Comedy, Drama, Romance",5.6,524.0,Harmage Singh Kalirai,Chris Bisson,Saeed Jaffrey,Sally Bankes,21.0,3,1,1,162,734,"Comedy, Drama, Romance Harmage Singh Kalirai Chris Bisson Saeed Jaffrey"
Chidi Balla,2018.0,112.0,"Comedy, Drama, Family",6.4,12.0,Radheshyam Pipalwa,Chetan Sharma,Mayur More,Abhimanyu Singh,8.0,3,1,1,155,1585,"Comedy, Drama, Family Radheshyam Pipalwa Chetan Sharma Mayur More"
Chidiya,2016.0,110.0,Drama,7.2,15.0,Mehran Amrohi,Svar Kamble,Ayush Pathak,Vinay Pathak,10.0,1,1,1,246,1236,Drama Mehran Amrohi Svar Kamble Ayush Pathak
Children of the Pyre,2008.0,74.0,Documentary,7.4,80.0,Rajesh S. Jala,Unknown,Unknown,Unknown,18.0,1,1,75,218,1669,Documentary Rajesh S. Jala Unknown Unknown
Children of War,2014.0,160.0,"Drama, History, War",6.7,879.0,Mrityunjay Devvrat,Farooq Shaikh,Victor Banerjee,Pawan Malhotra,12.0,3,1,10,282,1289,"Drama, History, War Mrityunjay Devvrat Farooq Shaikh Victor Banerjee"
Children's Party,2011.0,135.0,"Comedy, Drama, Family",7.5,7296.0,Vikas Bahl,Nitesh Tiwari,Irfan Khan,Sanath Menon,15.0,3,4,1,155,2460,"Comedy, Drama, Family Vikas Bahl Nitesh Tiwari Irfan Khan"
China Gate,1998.0,175.0,"Action, Adventure, Drama",6.6,1430.0,Rajkumar Santoshi,Om Puri,Naseeruddin Shah,Danny Denzongpa,28.0,3,14,15,5,1688,"Action, Adventure, Drama Rajkumar Santoshi Om Puri Naseeruddin Shah"
China Town,1962.0,151.0,"Comedy, Crime, Romance",7.1,201.0,Shakti Samanta,Shammi Kapoor,Shakila,Helen,64.0,3,34,35,152,2072,"Comedy, Crime, Romance Shakti Samanta Shammi Kapoor Shakila"
Chinar Daastaan-E-Ishq,2015.0,116.0,Romance,6.8,62.0,Sharique Minhaj,Parveen Kaur,Faisal Khan,Shahbaaz Khan,11.0,1,2,1,371,2096,Romance Sharique Minhaj Parveen Kaur Faisal Khan
Chingaari,2006.0,155.0,Drama,4.6,189.0,Kalpana Lajmi,Sushmita Sen,Mithun Chakraborty,Anuj Sawhney,20.0,1,4,4,246,968,Drama Kalpana Lajmi Sushmita Sen Mithun Chakraborty
Chinnodu,2006.0,150.0,"Action, Crime, Drama",4.0,51.0,Kanmani,Sumanth,Charmy Kaur,Rahul Dev,20.0,3,1,2,28,986,"Action, Crime, Drama Kanmani Sumanth Charmy Kaur"
Chintu Ji,2009.0,115.0,"Comedy, Drama",6.0,191.0,Ranjit Kapoor,Rishi Kapoor,Priyanshu Chatterjee,Kulraj Randhawa,17.0,2,1,46,154,1764,"Comedy, Drama Ranjit Kapoor Rishi Kapoor Priyanshu Chatterjee"
Chintu Ka Birthday,2020.0,80.0,"Drama, War",7.8,4063.0,Devanshu Singh,Satyanshu Singh,Vinay Pathak,Tillotama Shome,6.0,2,1,1,311,543,"Drama, War Devanshu Singh Satyanshu Singh Vinay Pathak"
Chipku,2016.0,135.0,Drama,6.8,5.0,Priyanka,Gouri Ash,Rakesh Bedi,Neha Pal Chowdhury,10.0,1,1,1,246,1541,Drama Priyanka Gouri Ash Rakesh Bedi
Chippa,2019.0,90.0,Drama,6.5,941.0,Safdar Rahman,Sunny Pawar,Mala Mukherjee,Surojit,7.0,1,1,1,246,1914,Drama Safdar Rahman Sunny Pawar Mala Mukherjee
Chitchor,1976.0,105.0,"Drama, Romance",7.5,618.0,Basu Chatterjee,Amol Palekar,Zarina Wahab,Vijayendra Ghatge,50.0,2,23,13,301,390,"Drama, Romance Basu Chatterjee Amol Palekar Zarina Wahab"
Chitkabrey,2011.0,120.0,"Drama, Mystery, Thriller",3.9,134.0,Suneet Arora,Ravi Kishan,Rahul Singh,Sanjay Swaraj,15.0,3,1,2,300,2271,"Drama, Mystery, Thriller Suneet Arora Ravi Kishan Rahul Singh"
Chittagong,2012.0,105.0,"Action, Drama, War",7.3,1558.0,Bedabrata Pain,Manoj Bajpayee,Barry John,Delzad Hiwale,14.0,3,1,27,50,395,"Action, Drama, War Bedabrata Pain Manoj Bajpayee Barry John"
